fromPName,toPName,count,percentage,totalCount
EMISWeb,EMISWeb,138176,56,247499
SystmOne,EMISWeb,43707,18,247499
EMISWeb,SystmOne,40617,16,247499
EMISWeb,"Vision 3",7761,3,247499
"Vision 3",EMISWeb,6781,3,247499
"Vision 3","Vision 3",3648,1,247499
SystmOne,"Vision 3",2312,1,247499
"Vision 3",SystmOne,1680,1,247499
SystmOne,Evolution,609,0,247499
Evolution,SystmOne,600,0,247499
Evolution,EMISWeb,589,0,247499
EMISWeb,Evolution,580,0,247499
Evolution,Evolution,349,0,247499
SystmOne,SystmOne,48,0,247499
"Vision 3",Evolution,22,0,247499
Evolution,"Vision 3",20,0,247499
